FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-11-29,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1156,BOS,"Boston, MA",RSW,"Fort Myers, FL",1824,1818.0,-6.0,15.0,1833.0,2143.0,7.0,2159,2150.0,-9.0,NOT CANCELLED,NOT DIVERTED,215.0,212.0,190.0,1249.0,,,,,,2022
2022-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2169,RSW,"Fort Myers, FL",ORD,"Chicago, IL",1231,1230.0,-1.0,14.0,1244.0,1409.0,13.0,1441,1422.0,-19.0,NOT CANCELLED,NOT DIVERTED,190.0,172.0,145.0,1120.0,,,,,,2022
2022-07-25,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1421,SNA,"Santa Ana, CA",SEA,"Seattle, WA",945,937.0,-8.0,12.0,949.0,1203.0,7.0,1230,1210.0,-20.0,NOT CANCELLED,NOT DIVERTED,165.0,153.0,134.0,978.0,,,,,,2022
2022-11-10,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2071,LAS,"Las Vegas, NV",SNA,"Santa Ana, CA",740,740.0,0.0,9.0,749.0,828.0,4.0,845,832.0,-13.0,NOT CANCELLED,NOT DIVERTED,65.0,52.0,39.0,226.0,,,,,,2022
2022-07-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1134,SAN,"San Diego, CA",RNO,"Reno, NV",1420,1415.0,-5.0,14.0,1429.0,1533.0,2.0,1550,1535.0,-15.0,NOT CANCELLED,NOT DIVERTED,90.0,80.0,64.0,488.0,,,,,,2022
2022-08-30,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3576,SLC,"Salt Lake City, UT",EUG,"Eugene, OR",1130,1347.0,137.0,10.0,1357.0,1431.0,3.0,1235,1434.0,119.0,NOT CANCELLED,NOT DIVERTED,125.0,107.0,94.0,618.0,0.0,119.0,0.0,0.0,0.0,2022
2022-06-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1688,PHL,"Philadelphia, PA",SRQ,"Sarasota/Bradenton, FL",1037,1028.0,-9.0,20.0,1048.0,1250.0,3.0,1319,1253.0,-26.0,NOT CANCELLED,NOT DIVERTED,162.0,145.0,122.0,957.0,,,,,,2022
2022-08-07,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5252,ATL,"Atlanta, GA",ROA,"Roanoke, VA",1626,1638.0,12.0,22.0,1700.0,1804.0,5.0,1758,1809.0,11.0,NOT CANCELLED,NOT DIVERTED,92.0,91.0,64.0,357.0,,,,,,2022
2022-06-09,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,425,DEN,"Denver, CO",SEA,"Seattle, WA",1813,1801.0,-12.0,17.0,1818.0,1945.0,20.0,2019,2005.0,-14.0,NOT CANCELLED,NOT DIVERTED,186.0,184.0,147.0,1024.0,,,,,,2022
2022-12-10,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,407,SAN,"San Diego, CA",ATL,"Atlanta, GA",1450,1450.0,0.0,14.0,1504.0,2136.0,11.0,2159,2147.0,-12.0,NOT CANCELLED,NOT DIVERTED,249.0,237.0,212.0,1892.0,,,,,,2022
2022-03-27,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2408,ATL,"Atlanta, GA",OKC,"Oklahoma City, OK",2305,2300.0,-5.0,14.0,2314.0,9.0,4.0,29,13.0,-16.0,NOT CANCELLED,NOT DIVERTED,144.0,133.0,115.0,761.0,,,,,,2022
2022-08-13,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2556,SAT,"San Antonio, TX",CLT,"Charlotte, NC",815,806.0,-9.0,10.0,816.0,1137.0,15.0,1207,1152.0,-15.0,NOT CANCELLED,NOT DIVERTED,172.0,166.0,141.0,1095.0,,,,,,2022
2022-02-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1906,ELP,"El Paso, TX",AUS,"Austin, TX",1515,1605.0,50.0,12.0,1617.0,1820.0,3.0,1745,1823.0,38.0,NOT CANCELLED,NOT DIVERTED,90.0,78.0,63.0,528.0,3.0,0.0,0.0,0.0,35.0,2022
2022-04-26,Envoy Air,Envoy Air: MQ,MQ,20398,3742,MEM,"Memphis, TN",ORD,"Chicago, IL",1230,1250.0,20.0,9.0,1259.0,1430.0,7.0,1420,1437.0,17.0,NOT CANCELLED,NOT DIVERTED,110.0,107.0,91.0,491.0,17.0,0.0,0.0,0.0,0.0,2022
