FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-09-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1313,BUR,"Burbank, CA",LAS,"Las Vegas, NV",1755,,,,,,,1900,,,CANCELLED,A,NOT DIVERTED,65.0,,,223.0,,,,,,2022
2022-12-25,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,685,DTW,"Detroit, MI",MDW,"Chicago, IL",645,,,,,,,710,,,CANCELLED,A,NOT DIVERTED,85.0,,,228.0,,,,,,2022
2022-06-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1587,MCO,"Orlando, FL",BHM,"Birmingham, AL",1425,,,,,,,1455,,,CANCELLED,B,NOT DIVERTED,90.0,,,479.0,,,,,,2022
2022-06-30,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,428,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",640,,,,,,,934,,,CANCELLED,A,NOT DIVERTED,234.0,,,1389.0,,,,,,2022
2022-07-24,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1496,PBI,"West Palm Beach/Palm Beach, FL",ATL,"Atlanta, GA",915,,,,,,,1055,,,CANCELLED,A,NOT DIVERTED,100.0,,,545.0,,,,,,2022
2022-07-23,Republic Airline,Republic Airline: YX,YX,20452,3671,JAX,"Jacksonville, FL",ORD,"Chicago, IL",1652,,,,,,,1844,,,CANCELLED,B,NOT DIVERTED,172.0,,,864.0,,,,,,2022
2022-03-14,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,633,PHX,"Phoenix, AZ",DFW,"Dallas/Fort Worth, TX",1900,,,,,,,2318,,,CANCELLED,B,NOT DIVERTED,138.0,,,868.0,,,,,,2022
2022-06-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1582,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",1655,,,,,,,2013,,,CANCELLED,B,NOT DIVERTED,138.0,,,812.0,,,,,,2022
2022-01-03,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,418,ATL,"Atlanta, GA",DCA,"Washington, DC",1215,,,,,,,1349,,,CANCELLED,B,NOT DIVERTED,94.0,,,547.0,,,,,,2022
2022-06-25,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2019,SMF,"Sacramento, CA",DEN,"Denver, CO",1614,,,,,,,1935,,,CANCELLED,A,NOT DIVERTED,141.0,,,909.0,,,,,,2022
